#meta,export_name,profile_data
#meta,original_variable,beam['profile_data']
#meta,shape,"(5, 800, 7)"
#meta,ndim,3
#meta,size,28000
#meta,export_mode,full
i,j,k,value
0,71,6,1.017644910003525
0,72,0,0.9011772872166235
0,72,1,0.08375203932588945
0,72,2,0.015070673457487065
0,72,3,0.35267935634884595
0,72,4,16.723041413983676
0,72,5,45.25922593621492
0,72,6,1.017440278857483
0,73,0,0.899867541675358
0,73,1,0.08490417313220375
0,73,2,0.01522828519243816
0,73,3,0.3596047222763824
0,73,4,16.783132691180388
0,73,5,45.28579572041819
0,73,6,1.0177225088059005
0,74,0,0.8987082411269733
0,74,1,0.08535327236715338
0,74,2,0.015938486505873185
0,74,3,0.36677705607601985
0,74,4,16.842868836866508
0,74,5,45.31313637105851
0,74,6,1.0173306213922129
0,75,0,0.8977641133057529
0,75,1,0.0859458790672683
0,75,2,0.01629000762697885
0,75,3,0.36759914948180505
0,75,4,16.90262909593386
0,75,5,45.34133139256063
0,75,6,1.0178282962988665
0,76,0,0.8971405081923602
0,76,1,0.0863549324281885
0,76,2,0.016504559379451212
0,76,3,0.37481051072349947
0,76,4,16.96183575207725
0,76,5,45.37038799089116
0,76,6,1.017931251508926
0,77,0,0.8959705889277262
0,77,1,0.08684539058722814
0,77,2,0.01718402048504563
0,77,3,0.37882558110215786
0,77,4,17.020762364830595
0,77,5,45.40029737908603
0,77,6,1.018079848227578
0,78,0,0.8945501016530089
0,78,1,0.08801155995890213
0,78,2,0.017438338388089038
0,78,3,0.38217103817880627
0,78,4,17.079736015519728
0,78,5,45.431059974714195
0,78,6,1.0188351440528687
0,79,0,0.8933038261539819
0,79,1,0.08921147493089171
0,79,2,0.017484698915126422
0,79,3,0.38853865053781417
0,79,4,17.138202828643816
0,79,5,45.46268197010741
0,79,6,1.018603256935893
0,80,0,0.8928064166531886
0,80,1,0.08917956028593994
0,80,2,0.01801402306087144
0,80,3,0.39455452604870433
0,80,4,17.196118890793834
0,80,5,45.49530149867094
0,80,6,1.0191876961876296
0,81,0,0.8920420345007412
0,81,1,0.08976822710069018
0,81,2,0.018189738398568654
0,81,3,0.40177591153705405
0,81,4,17.431646547947384
0,81,5,45.471722217898744
0,81,6,1.0191156251295883
0,82,0,0.8907295129104649
0,82,1,0.09034982281057423
0,82,2,0.018920664278960938
0,82,3,0.4017287318661407
0,82,4,17.489388511682996
0,82,5,45.49587715686283
0,82,6,1.019322283952224
0,83,0,0.8894957391515889
0,83,1,0.09086345013500116
0,83,2,0.01964081071341004
0,83,3,0.41191352199331566
0,83,4,17.537664058483617
0,83,5,45.36419933171703
0,83,6,1.0190213430358914
0,84,0,0.888695167266403
0,84,1,0.09186305667022857
0,84,2,0.01944177606336859
0,84,3,0.4175132746341335
0,84,4,17.539246273688978
0,84,5,45.17979668245894
0,84,6,1.0188595392794637
0,85,0,0.8875388921532089
0,85,1,0.09261383825842937
0,85,2,0.01984726958836174
0,85,3,0.4257608467581608
0,85,4,17.596317629093274
0,85,5,45.204868812251135
0,85,6,1.018490119618326
0,86,0,0.8867403669183639
0,86,1,0.09304179590969268
0,86,2,0.020217837171943427
0,86,3,0.4274007925815547
0,86,4,17.653322184728193
0,86,5,45.23009046534412
0,86,6,1.0191623841100983
0,87,0,0.8856553080595617
0,87,1,0.09384996471051837
0,87,2,0.02049472722991991
0,87,3,0.4320036683205619
0,87,4,17.81157947195396
0,87,5,45.391041854409075
0,87,6,1.0191481067608545
0,88,0,0.884647512924648
0,88,1,0.0924513400868864
0,88,2,0.022901146988465643
0,88,3,0.4363212398993165
0,88,4,17.173300083974244
0,88,5,44.738557657851345
0,88,6,1.018791860337627
0,89,0,0.8843033288629435
0,89,1,0.09266428266753134
0,89,2,0.023032388469525145
0,89,3,0.4444651051754784
0,89,4,17.557984506509435
0,89,5,44.68375037586322
0,89,6,1.0184241270937924
0,90,0,0.8834585376668678
0,90,1,0.09320800600266525
0,90,2,0.023333456330467003
0,90,3,0.44935614910529925
0,90,4,17.610209073033378
0,90,5,44.562625125553915
0,90,6,1.018925174981049
0,91,0,0.8826077494797464
0,91,1,0.09386595311631378
0,91,2,0.02352629740393977
0,91,3,0.45506774054437366
0,91,4,17.667365077003854
0,91,5,44.58487690700625
0,91,6,1.0189802002539308
0,92,0,0.8815326956656897
0,92,1,0.09448456774994546
0,92,2,0.023982736584364846
0,92,3,0.4597340589970921
0,92,4,17.72399197184399
0,92,5,44.607172622836664
0,92,6,1.0197874865421452
0,93,0,0.880948589905389
0,93,1,0.09506676862978822
0,93,2,0.023984641464822785
0,93,3,0.4672028439354873
0,93,4,17.780510174487976
0,93,5,44.62943351023266
0,93,6,1.0193403565114592
0,94,0,0.8800548082218358
0,94,1,0.09557840341240091
0,94,2,0.024366788365763295
0,94,3,0.4728497403540763
0,94,4,17.83678331588819
0,94,5,44.6517739019524
